number,trial_id,id,url,is_nsfw,subject_id,trial_number,prompt,created_at,experiment_name,containsNSFW,filename,filepath,reference,trial_type,trial_code,curation,Experience,experiment_name1,Duration..in.seconds.,imagenumber,choice,cosine,nvariant,imvariant,aggregate_id
9,66f3f6558fc41826ca81d1a1,66f3f6558fc41826ca81d1a2,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ2_0.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ2,study tree reading a book in the library,2024-09-25T11:39:01Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ2_0.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ2_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ2.png,Copying,Q2_F2_Tree_C,4,2,Artist_final,1197,1,FALSE,0.8273043398759673,NA,NA,NA
10,66f3f6558fc41826ca81d1a1,66f3f6558fc41826ca81d1a3,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ2_1.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ2,study tree reading a book in the library,2024-09-25T11:39:01Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ2_1.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ2_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ2.png,Copying,Q2_F2_Tree_C,4,2,Artist_final,1197,2,FALSE,0.8414190806930616,NA,NA,NA
11,66f3f6558fc41826ca81d1a1,66f3f6558fc41826ca81d1a4,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ2_2.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ2,study tree reading a book in the library,2024-09-25T11:39:01Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ2_2.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ2_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ2.png,Copying,Q2_F2_Tree_C,4,2,Artist_final,1197,3,FALSE,0.7839618971598536,NA,NA,NA
12,66f3f6558fc41826ca81d1a1,66f3f6558fc41826ca81d1a5,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ2_3.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ2,study tree reading a book in the library,2024-09-25T11:39:01Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ2_3.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ2_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ2.png,Copying,Q2_F2_Tree_C,4,2,Artist_final,1197,4,TRUE,0.8042168121125052,NA,NA,NA
13,66f3f6818fc41826ca81d1a6,66f3f6818fc41826ca81d1a7,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ3_0.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ3,paradise jungle waterfall palm trees and mountains on the background,2024-09-25T11:39:45Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ3_0.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ3_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ3.png,Copying,Q3_F3_landscape_C,3,2,Artist_final,1197,1,FALSE,0.884395449375741,NA,NA,NA
14,66f3f6818fc41826ca81d1a6,66f3f6818fc41826ca81d1a8,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ3_1.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ3,paradise jungle waterfall palm trees and mountains on the background,2024-09-25T11:39:45Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ3_1.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ3_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ3.png,Copying,Q3_F3_landscape_C,3,2,Artist_final,1197,2,FALSE,0.897887259379101,NA,NA,NA
15,66f3f6818fc41826ca81d1a6,66f3f6818fc41826ca81d1a9,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ3_2.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ3,paradise jungle waterfall palm trees and mountains on the background,2024-09-25T11:39:45Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ3_2.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ3_2.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ3.png,Copying,Q3_F3_landscape_C,3,2,Artist_final,1197,3,TRUE,0.8808314431193288,NA,NA,NA
16,66f3f6818fc41826ca81d1a6,66f3f6818fc41826ca81d1aa,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ3_3.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ3,paradise jungle waterfall palm trees and mountains on the background,2024-09-25T11:39:45Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ3_3.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ3_3.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ3.png,Copying,Q3_F3_landscape_C,3,2,Artist_final,1197,4,FALSE,0.8892570836417033,NA,NA,NA
17,66f3f6e28fc41826ca81d1ab,66f3f6e38fc41826ca81d1ac,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ5_0.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ5,black male and female sitting on a dark green bench. female has yellow dress. blur background. cartoon realistic style,2024-09-25T11:41:22Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ5_0.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ5_0.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ5.png,Copying,Q5_F5_People_C,2,2,Artist_final,1197,1,FALSE,0.8815805024499226,NA,NA,NA
18,66f3f6e28fc41826ca81d1ab,66f3f6e38fc41826ca81d1ad,https://creativeai-20221111143400.s3.amazonaws.com/Artist_final/FS_2BbT7DpAdCeXEoz_FaithfulQ5_1.png,FALSE,FS_2BbT7DpAdCeXEoz,FaithfulQ5,black male and female sitting on a dark green bench. female has yellow dress. blur background. cartoon realistic style,2024-09-25T11:41:22Z,Artist_final,0,FS_2BbT7DpAdCeXEoz_FaithfulQ5_1.png,results/FS_2BbT7DpAdCeXEoz_FaithfulQ5_1.png,C:/Users/Andres/korpused/AI Berlin data/study/stims/FaithfulQ5.png,Copying,Q5_F5_People_C,2,2,Artist_final,1197,2,TRUE,0.8552539830645479,NA,NA,NA
